[2026-01-21T10:30:56.291+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:30:36.674074+00:00 [queued]>
[2026-01-21T10:30:56.301+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:30:36.674074+00:00 [queued]>
[2026-01-21T10:30:56.302+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T10:30:56.320+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 10:30:36.674074+00:00
[2026-01-21T10:30:56.325+0000] {standard_task_runner.py:60} INFO - Started process 311 to run task
[2026-01-21T10:30:56.329+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'manual__2026-01-21T10:30:36.674074+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpl96ux8um']
[2026-01-21T10:30:56.332+0000] {standard_task_runner.py:88} INFO - Job 10: Subtask transform_data
[2026-01-21T10:30:56.382+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data manual__2026-01-21T10:30:36.674074+00:00 [running]> on host d6a8c67c486d
[2026-01-21T10:31:09.097+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:31:09.221+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:31:09.345+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:31:09.459+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:31:09.841+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T10:31:10.330+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:31:10.561+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:31:10.757+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:31:10.987+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:31:11.196+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:31:11.413+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:31:11.657+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:31:11.829+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:31:11.972+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:31:12.156+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:31:12.292+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:31:12.454+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:31:12.651+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T10:31:12.843+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:31:13.297+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:31:13.474+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:31:13.639+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:31:13.769+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:31:13.936+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:31:14.098+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:31:14.287+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:31:14.451+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:31:14.615+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:31:14.761+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:31:14.914+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:31:15.093+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:31:15.242+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:31:15.358+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:31:15.591+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:31:15.850+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:31:16.023+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:31:16.176+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:31:16.301+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:31:16.429+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:31:16.550+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:31:16.682+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:31:16.826+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:31:16.962+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:31:17.086+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:31:17.196+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:31:17.311+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:31:17.430+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:31:17.549+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:31:17.690+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:31:17.827+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:31:18.069+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:31:18.200+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:31:18.329+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:31:18.464+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:31:18.573+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:31:18.697+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:31:18.808+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:31:18.932+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:31:19.049+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:31:19.167+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:31:19.275+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:31:19.391+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:31:19.546+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:31:19.665+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:31:19.803+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:31:19.925+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:31:20.137+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T10:31:21.012+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T10:31:21.028+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T103036, start_date=20260121T103056, end_date=20260121T103121
[2026-01-21T10:31:21.059+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T10:31:21.081+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
