[2026-01-21T13:45:19.093+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T13:30:00+00:00 [queued]>
[2026-01-21T13:45:19.105+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T13:30:00+00:00 [queued]>
[2026-01-21T13:45:19.105+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T13:45:19.126+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 13:30:00+00:00
[2026-01-21T13:45:19.131+0000] {standard_task_runner.py:60} INFO - Started process 6291 to run task
[2026-01-21T13:45:19.137+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T13:30:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpjkui8igr']
[2026-01-21T13:45:19.142+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask transform_data
[2026-01-21T13:45:19.192+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T13:30:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T13:45:33.349+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T13:45:33.496+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T13:45:33.641+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T13:45:33.860+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T13:45:34.192+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T13:45:34.386+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T13:45:34.578+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T13:45:35.110+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T13:45:35.711+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T13:45:36.029+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T13:45:36.273+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T13:45:36.463+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T13:45:36.724+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T13:45:36.938+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T13:45:37.141+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T13:45:37.300+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T13:45:37.436+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T13:45:37.574+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T13:45:37.752+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T13:45:37.949+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T13:45:38.174+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T13:45:38.391+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T13:45:38.865+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T13:45:39.107+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T13:45:39.290+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T13:45:39.464+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T13:45:39.610+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T13:45:39.819+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T13:45:40.067+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T13:45:40.279+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T13:45:40.441+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T13:45:40.614+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T13:45:40.765+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T13:45:40.932+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T13:45:41.082+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T13:45:41.244+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T13:45:41.470+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T13:45:41.732+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T13:45:41.857+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T13:45:42.008+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T13:45:42.124+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T13:45:42.293+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T13:45:42.465+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T13:45:42.611+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T13:45:42.787+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T13:45:42.953+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T13:45:43.178+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T13:45:43.307+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T13:45:43.419+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T13:45:43.525+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T13:45:43.628+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T13:45:43.789+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T13:45:43.950+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T13:45:44.237+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T13:45:44.373+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T13:45:44.523+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T13:45:44.680+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T13:45:44.839+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T13:45:45.018+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T13:45:45.132+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T13:45:45.242+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T13:45:45.343+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T13:45:45.442+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T13:45:45.538+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T13:45:45.630+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T13:45:45.738+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T13:45:45.841+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T13:45:45.950+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T13:45:46.080+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T13:45:46.244+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T13:45:47.049+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T13:45:47.061+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T133000, start_date=20260121T134519, end_date=20260121T134547
[2026-01-21T13:45:47.102+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T13:45:47.143+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
