[2026-01-21T11:45:14.577+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:30:00+00:00 [queued]>
[2026-01-21T11:45:14.586+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:30:00+00:00 [queued]>
[2026-01-21T11:45:14.587+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T11:45:14.602+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 11:30:00+00:00
[2026-01-21T11:45:14.606+0000] {standard_task_runner.py:60} INFO - Started process 4250 to run task
[2026-01-21T11:45:14.611+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T11:30:00+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpqj48ic46']
[2026-01-21T11:45:14.614+0000] {standard_task_runner.py:88} INFO - Job 23: Subtask transform_data
[2026-01-21T11:45:14.659+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T11:30:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T11:45:30.004+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:45:30.197+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:45:30.342+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:45:30.502+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:45:30.673+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:45:30.824+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:45:30.979+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:45:31.120+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:45:31.237+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:45:31.497+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:45:31.722+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:45:31.850+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:45:31.985+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:45:32.118+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:45:32.221+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:45:32.318+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:45:32.442+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:45:32.542+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:45:32.646+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:45:32.761+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:45:32.857+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:45:32.954+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:45:33.071+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:45:33.209+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:45:33.333+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:45:33.465+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:45:33.721+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:45:33.835+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:45:33.963+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:45:34.077+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:45:34.221+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:45:34.375+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:45:34.545+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:45:34.661+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:45:34.793+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:45:34.932+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:45:35.077+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:45:35.221+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:45:35.349+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:45:35.495+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:45:35.650+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:45:35.796+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:45:35.999+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T11:45:36.622+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T11:45:36.636+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T113000, start_date=20260121T114514, end_date=20260121T114536
[2026-01-21T11:45:36.684+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T11:45:36.714+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
